WK03;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;7952.32;0;0;0;0;0;4;0
CNF1;22206.80;0;0;0;0;0;4;1
DBZ1;7500.60;0;0;0;0;0;0;0
DSP2;3755.40;0;0;0;0;0;1;0
DBH5;2778.20;0;0;0;0;0;0;0
DRJ3;2063.00;0;0;0;0;0;0;0
FOR2;10206.67;0;0;0;0;0;5;3
GIG1;20148.20;0;0;0;0;0;1;1
GRU5;27324.00;0;0;0;0;0;2;1
GRU8;11454.60;0;0;0;0;0;4;0
POA1;18704.00;0;0;0;1;0;0;0
REC1;15522.20;0;0;0;0;0;3;1
XBRA;23768.80;0;0;0;0;0;0;0
XBRB;14062.40;0;0;0;0;0;0;0
XBRT;162773.60;0;0;0;0;0;1;1
XBRZ;12487.20;0;0;0;0;0;0;0
