WK15;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;5869.20;0;0;0;0;0;0;0
CNF1;16865.2;0;0;0;0;0;0;1
DBZ1;6451.00;0;0;0;0;0;1;0
DSP2;4300.70;0;0;0;0;0;0;0
DBH5;3006.80;0;0;0;0;0;0;0
DRJ3;3952.70;0;0;0;0;0;0;0
FOR2;9047.93;0;0;0;0;0;6;1
GIG1;18082.04;0;0;0;0;0;2;0
GRU5;42038.00;0;0;0;4;0;8;0
GRU8;12618.40;0;0;0;0;0;1;0
POA1;14497.00;0;0;0;0;0;2;1
REC1;16010.20;0;0;0;0;0;2;0
XBRA;22660.00;0;0;0;0;0;0;0
XBRB;10780.00;0;0;0;0;0;0;0
XBRT;98322.40;0;0;0;0;0;0;0
XBRZ;8016.80;0;0;0;0;0;0;0
