WK19;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;6313.00;0;0;0;0;0;1;0
CNF1;15591.4;0;0;0;0;0;0;0
DBZ1;7251.10;0;0;0;0;0;0;0
DSP2;4349.50;0;0;0;0;0;1;0
DBH5;3510.00;0;0;0;0;0;1;0
DRJ3;5056.00;0;0;0;0;0;0;0
DSP3;368.00;0;0;0;0;0;1;0
FOR2;9335.00;0;0;0;0;0;2;0
GIG1;16216.69;0;0;0;0;0;1;0
GRU5;46687.14;0;0;0;2;0;4;0
GRU8;13392.00;0;0;0;0;0;0;0
POA1;14568.37;0;0;0;0;0;2;0
REC1;16979.20;0;0;0;0;0;2;1
XBRA;19879.20;0;0;0;0;0;0;1
XBRB;9961.60;0;0;0;0;0;0;0
XBRT;94538.40;0;0;0;0;0;0;0
XBRZ;6617.60;0;0;0;0;0;0;0
