WK28;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;12608.20;0;0;0;0;0;7;2
CNF1;47247.2;0;0;0;0;0;6;1
DBZ1;9206.50;0;0;0;0;0;1;0
DSP2;5792.10;0;0;0;0;0;1;0
DBH5;7618.90;0;0;0;0;0;0;1
DRJ3;9638.10;0;0;0;0;0;0;0
DSP3;8722.50;0;0;0;0;0;0;0
FOR2;19213.67;0;0;0;0;0;6;1
GIG1;48693.76;0;0;0;0;0;8;1
GRU5;69795.81;0;0;0;0;0;6;1
GRU8;22312.40;0;0;0;0;0;0;2
POA1;30001.06;0;0;0;0;0;3;1
REC1;40556.20;0;0;0;1;0;5;1
XBRA;45645.60;0;0;0;0;0;0;0
XBRB;26558.40;0;0;0;0;0;0;0
XBRT;231985.60;0;0;0;0;0;0;0
XBRZ;14801.60;0;0;0;0;0;0;0
