WK16;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;5815.40;0;1;1;0;0;1;0
CNF1;16541.8;0;0;0;0;0;3;1
DBZ1;5917.50;0;0;0;0;0;1;0
DSP2;4000.00;0;0;0;0;0;0;0
DBH5;2790.30;0;0;0;0;0;0;0
DRJ3;4051.60;0;0;0;0;0;0;0
FOR2;9079.33;0;0;0;0;0;2;0
GIG1;17390.89;0;0;0;0;0;3;0
GRU5;43385.90;0;0;0;0;0;13;0
GRU8;12364.40;0;0;0;0;0;3;1
POA1;13646.00;0;0;0;0;0;0;1
REC1;17600.20;0;0;0;0;0;3;0
XBRA;21445.60;0;0;0;0;0;1;0
XBRB;10700.80;0;0;0;0;0;0;0
XBRT;94512.00;0;0;0;0;0;0;0
XBRZ;7585.60;0;0;0;0;0;0;0
