WK20;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;6667.80;0;0;0;1;0;2;0
CNF1;15514.4;0;0;0;0;0;5;0
DBZ1;6997.00;0;0;0;0;0;0;0
DSP2;4272.30;0;0;0;0;0;0;0
DBH5;3587.50;0;0;0;0;0;0;0
DRJ3;5445.80;0;0;0;0;0;0;0
DSP3;2475.50;0;0;0;0;0;1;0
FOR2;9840.33;0;0;0;0;0;2;0
GIG1;16147.80;0;0;0;0;0;2;1
GRU5;47121.74;0;0;0;0;0;8;0
GRU8;13394.40;0;0;0;0;0;4;0
POA1;14228.20;0;0;0;0;0;2;0
REC1;16383.20;0;0;0;2;0;2;1
XBRA;20644.80;0;0;0;0;0;0;0
XBRB;10586.40;0;0;0;1;0;0;0
XBRT;101332;0;0;0;0;0;0;0
XBRZ;6644;0;0;0;0;0;0;0
