WK25;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;9744.60;0;0;0;0;0;4;0
CNF1;42867.00;0;0;0;0;0;3;1
DBZ1;6877.20;0;0;0;0;0;0;0
DSP2;4811.60;0;0;0;0;0;0;0
DBH5;5354.60;0;0;0;0;0;1;0
DRJ3;6816.60;0;0;0;0;0;0;0
DSP3;4519.60;0;0;0;0;0;0;0
FOR2;9879.00;0;0;0;0;1;4;0
GIG1;37443.62;0;0;0;0;0;5;0
GRU5;69911.32;0;0;0;1;0;5;0
GRU8;20614.60;0;0;0;0;0;1;1
POA1;26926.70;0;0;0;0;0;0;0
REC1;31838.00;0;0;0;0;0;2;2
XBRA;31056.40;0;0;0;0;0;1;0
XBRB;12144.00;0;0;0;0;0;0;0
XBRT;121880.00;0;0;0;0;0;0;0
XBRZ;6080.80;0;0;0;0;0;0;0
